connection_idx,mean_connectivity_z,condition
86,-0.028863460953361713,external
87,0.023063493312781975,external
88,0.09791766734691953,external
89,0.002291054518176558,external
90,-0.009029284092336484,external
91,0.026661939130044027,external
92,0.014313178905131799,external
93,0.01504390418686328,external
94,0.07538956477048585,external
95,0.059382176842918515,external
96,0.014786595249701889,external
97,0.0871066238888762,external
98,0.04248772200333604,external
99,0.013910167800227172,external
100,-0.0011970507215397427,external
101,0.021982197606688004,external
102,0.03127499377467544,external
103,0.04615142172679873,external
104,0.09058793017302219,external
105,0.022992319530378395,external
106,0.04236594313063347,external
107,-0.007923389635777808,external
108,0.03151884547519574,external
109,-0.060854870030028936,external
110,0.006275894915853758,external
111,0.031385417335055156,external
112,0.029220953571944725,external
113,0.04314432499079298,external
114,0.05093898140535274,external
115,0.02094172866761464,external
116,0.028678938875614967,external
117,0.005207060057936974,external
118,0.030396984426392645,external
119,0.06941734290011593,external
120,0.06641861045782137,external
121,0.09605355050656383,external
122,0.02844223782941332,external
123,0.0279538056619629,external
124,0.003199206060077462,external
125,0.03705908155311908,external
126,-0.04136706077875733,external
127,0.0010273180530152766,external
128,0.06639228879706115,external
129,-0.0052490516817955135,external
130,0.03869094620324825,external
131,-0.0412167850243399,external
132,0.021159987457175195,external
133,0.26128312313653057,external
134,0.09699174320641007,external
135,0.04757355785870393,external
136,0.053229247553271214,external
137,0.05383403860324871,external
138,-0.03127737532363003,external
139,0.050944915414050725,external
140,-0.012162972701964647,external
141,0.034423795740708175,external
142,0.013086294887483493,external
143,-0.03956299750055853,external
144,0.038008234014435115,external
145,0.0789187815517705,external
146,0.02741031405448009,external
147,0.04050707550697563,external
148,0.0010004474342804233,external
149,0.0663800797347013,external
150,0.2600388396895846,external
151,0.0974051800398042,external
152,0.04605988467267023,external
153,0.0609874635086634,external
154,0.055150197209116465,external
155,0.01777039012087821,external
156,0.05602031531328521,external
157,0.03273446690106688,external
158,0.03191826839308908,external
159,-0.03638048073943149,external
160,0.016921242870711787,external
161,0.15755996250572232,external
162,0.10018089511579359,external
163,0.06677442127469264,external
164,0.09760508399765538,external
165,0.06512191665230156,external
166,-0.028022405911582438,external
167,0.05956640415860648,external
168,0.046536950985632874,external
169,0.11744589162436818,external
170,-0.0060657973725753616,external
171,0.00929277897026807,external
172,0.05716300325145565,external
173,0.06735508500138138,external
174,0.06062773269959059,external
175,0.07983662982852698,external
176,0.02230776355599683,external
177,0.05313023709150571,external
178,0.15501825701977137,external
179,0.09962918117398156,external
180,0.05728188332236866,external
181,0.11393487691574522,external
182,0.0795389003630567,external
183,0.03096462914001717,external
184,0.00025333260075420294,external
185,0.005193600746004802,external
186,-0.02836164343037967,external
187,-0.01539265537357575,external
188,0.05741664441412575,external
189,-0.010694054680907067,external
190,0.035904845116492785,external
191,-0.02281446951771929,external
192,0.04756834681965521,external
193,-0.009186174990626255,external
194,0.026805928032188647,external
195,-0.030027385250825784,external
196,0.05710289102297413,external
197,0.0006065251944977248,external
198,0.008694332768110269,external
199,0.055474394734577305,external
200,0.033156432738257406,external
201,-0.008135119011083575,external
202,0.047365135318055966,external
203,-0.007525335036301993,external
204,-0.006113545134336818,external
205,0.03829491621203395,external
206,0.0020729652665945736,external
207,0.019146931024277343,external
208,-0.00044522216571806866,external
209,0.05395720106253262,external
210,-0.011785880088059378,external
211,0.02382150653636594,external
212,0.044342777568688374,external
213,-0.03678648073506652,external
214,-0.05259383250745678,external
215,-0.08139136686267993,external
216,0.0004130203399289878,external
217,-0.03062935238719162,external
218,0.04679181536493631,external
219,0.05627164183219374,external
220,0.01240652452555642,external
221,-0.03422206490627342,external
222,0.005081916096932325,external
223,0.040553884175066245,external
224,0.05306672276655166,external
225,0.037169379792274054,external
226,-0.0023108853292122533,external
227,-0.031673703325726034,external
228,0.06162903532561148,external
229,0.017760173363855616,external
230,-0.04920537565420161,external
231,-0.07039636720668833,external
232,-0.06446234266953567,external
233,0.0032464923589287536,external
234,-0.030049454347115683,external
235,0.03935909603940235,external
236,0.017938493285664426,external
237,0.015309507887474039,external
238,0.03328714286723226,external
239,-0.012742018475256064,external
240,0.02752478039213645,external
241,0.03678474265703924,external
242,-0.00763675155145561,external
243,0.019897211464473544,external
244,-0.020776220252818414,external
245,-0.006912096846889221,external
246,0.011925690670884325,external
247,0.021035976019532193,external
248,-0.024034028721808213,external
249,0.020418654961060063,external
250,-0.005112820912952405,external
251,-0.02079921750383043,external
