connection_idx,mean_connectivity_z,condition
179,0.06008963421392519,internal
180,0.06912373740899437,internal
181,0.09298236192359326,internal
182,0.07016744067193961,internal
183,0.0002140512600603365,internal
184,0.03535485583193988,internal
185,0.059690806929424946,internal
186,-0.03988671361918417,internal
187,-0.02230865103341832,internal
188,-0.04023246283960224,internal
189,0.006941619714685855,internal
190,0.05808683335565232,internal
191,0.010882117209623227,internal
192,0.04392406375482227,internal
193,-0.000577190126798644,internal
194,-0.002695699403873079,internal
195,0.023358535269390097,internal
196,0.052690702827805545,internal
197,0.03234974922591927,internal
198,0.07960529846715994,internal
199,0.029787331112431037,internal
200,0.020004953361658435,internal
201,0.037706178012481335,internal
202,0.06260831171310298,internal
203,-0.006139311119804573,internal
204,-0.015223375878611589,internal
205,-0.03944780881748151,internal
206,-0.011008792648570418,internal
207,0.04769911077989974,internal
208,0.028144416864720523,internal
209,0.05731744157065701,internal
210,0.04186373094953225,internal
211,0.07192002734968662,internal
212,-0.00720574172705087,internal
213,-0.035201548950727614,internal
214,-0.030583903989480427,internal
215,0.0056544046676897525,internal
216,0.06535267192912485,internal
217,-0.005346019963357172,internal
218,0.06238893738167531,internal
219,0.03486099028537516,internal
220,-0.022675307058257686,internal
221,-0.019324229287154358,internal
222,0.021851837965044103,internal
223,0.051946166436546065,internal
224,0.049886493127608324,internal
225,0.005975714426674735,internal
226,8.119538703795412e-06,internal
227,0.02649823769190725,internal
228,0.055618383117165694,internal
229,-0.008998921801710127,internal
230,-0.03832682546708177,internal
231,-0.03067939126147203,internal
232,-0.007204177823737686,internal
233,0.05975179891292146,internal
234,0.0055539485164328925,internal
235,0.08010933335878791,internal
236,0.017520761206996013,internal
237,0.05050556346015369,internal
238,0.04005527667575648,internal
239,0.043983333366268175,internal
240,0.03544976762647054,internal
241,0.06390951268897332,internal
242,0.025703008373353237,internal
243,0.01771136429046069,internal
244,0.011878729616982565,internal
245,0.04850239331290146,internal
246,0.013694308327630878,internal
247,0.0022373603154824833,internal
248,0.014387581927361878,internal
249,0.04053939213592661,internal
250,0.04043933696487008,internal
251,0.03388018714107222,internal
252,-0.0004338368497950144,internal
253,0.03383146462145784,internal
254,0.016759487425501665,internal
255,0.017354244235301214,internal
256,0.03033138916955612,internal
257,0.04228545483541482,internal
258,0.03937263714293341,internal
259,0.0160159093610644,internal
260,-0.007003848639252487,internal
261,0.03682861239435222,internal
262,0.03960780171850504,internal
263,0.12005397617514384,internal
264,-0.0032366620694617293,internal
265,-0.017350087815014004,internal
266,-0.0023029383771661313,internal
267,-0.01162996807936803,internal
268,-0.002670934032676764,internal
269,0.05514415043632762,internal
270,0.0405520969663261,internal
271,0.03103350368796638,internal
272,0.02800553602959062,internal
273,0.05206195382633542,internal
274,0.06707361704191052,internal
275,0.07843908866274542,internal
276,-0.00850041548733986,internal
277,-0.01615434508980501,internal
278,0.04364393185077144,internal
279,0.04710794307254517,internal
280,0.10286356836579863,internal
281,0.017374428012545403,internal
282,-0.020527427364205802,internal
283,-0.009046239934169023,internal
284,-0.011928843794515817,internal
285,0.0778035265577564,internal
286,0.035164691870183847,internal
287,0.08746150498355137,internal
288,0.12578855027310656,internal
289,0.0238088826975001,internal
290,0.10171001485811282,internal
291,-0.0014679864067799798,internal
292,-0.013442800848681569,internal
293,-0.02381549474244704,internal
294,0.01247245547483485,internal
295,0.03720466736599067,internal
296,0.00769366332923314,internal
297,-0.022093603174858478,internal
298,0.014115243855732503,internal
299,0.07015847716909283,internal
300,0.05496119911293182,internal
301,0.049107097806140976,internal
302,0.1290612880977202,internal
303,0.06207881301976297,internal
304,0.0971769604439084,internal
305,0.137086220943093,internal
306,0.06308378708005145,internal
307,0.11149534010694974,internal
308,-0.06064887998707872,internal
309,0.05427384053995007,internal
310,0.12535291937500204,internal
311,0.03075711787541639,internal
312,0.10162494790066735,internal
313,0.030868368399695433,internal
314,-0.00407814461125473,internal
315,-0.020401130760480852,internal
316,0.003727410923123923,internal
317,0.045239469463085075,internal
318,0.027239768360838842,internal
319,-0.011899845069539864,internal
320,-0.04102763649221685,internal
321,0.030183942646479178,internal
322,0.07041073097787992,internal
323,0.021290727951041827,internal
324,0.039241129366430184,internal
325,-0.04686503727982444,internal
326,0.047980159213265476,internal
327,0.10040889524563296,internal
328,0.03747370742346429,internal
329,0.09196808281228878,internal
330,-0.03187982703413245,internal
331,0.09251640615515576,internal
332,0.029813054178109633,internal
333,0.21245148462085714,internal
334,0.15076981109311335,internal
335,0.060461872705709595,internal
336,-0.061464596296651706,internal
337,0.015816513864355803,internal
338,0.129897061735811,internal
339,0.034650414495657665,internal
340,-0.01779986016941973,internal
341,-0.027432197601810326,internal
342,0.020215447601649283,internal
343,0.09481951348396071,internal
344,-0.0015274107912864783,internal
345,-0.05286385919800166,internal
346,-0.02933498433429993,internal
347,-0.0045480912312263104,internal
348,0.10366209333835637,internal
349,0.052221755428914475,internal
350,0.20153521108886166,internal
351,0.05949065039859628,internal
352,0.06882593165575672,internal
353,0.08190694937796471,internal
354,0.056161222204280214,internal
355,0.05589664573464851,internal
356,0.011074397180189164,internal
357,0.012286908171518196,internal
358,0.054262888940045634,internal
359,0.05348909028759594,internal
360,-0.0013224424574883483,internal
361,-0.014615459019168506,internal
362,0.02013125538566964,internal
363,0.030565533837778103,internal
364,0.009931265508397466,internal
365,0.00539371503172283,internal
366,-0.0643504663048433,internal
367,0.04975980072826338,internal
368,0.031491335718916935,internal
369,0.0502715499484053,internal
370,0.04764038730139303,internal
371,0.028671565795496397,internal
372,-0.014488734469425169,internal
373,0.020020005584132316,internal
374,0.04024491687500162,internal
375,0.05244386478451857,internal
376,0.025146462816004512,internal
377,0.09804675304831402,internal
378,0.08373228005816469,internal
379,0.05478163569878486,internal
380,0.06029387873273012,internal
381,0.0298949215580334,internal
382,0.020938905556114773,internal
383,0.10426097379213588,internal
384,0.08284645245417674,internal
385,0.08731042871486505,internal
386,0.05563259543959559,internal
387,0.01284300142044694,internal
388,0.033016230260154475,internal
389,-0.008366208143192694,internal
390,0.05299491876184862,internal
391,-0.02274514453793802,internal
392,0.025112283405573615,internal
393,0.04976014531708938,internal
394,0.02883721189898386,internal
395,-0.010772224771777564,internal
396,0.052115399940189794,internal
397,-0.009308282601870601,internal
398,0.004211777851645748,internal
399,0.05341163336753,internal
400,0.009703291451495547,internal
401,0.008845496013064924,internal
402,0.051309394237315786,internal
403,0.03360098525537841,internal
404,0.06679985306178046,internal
405,0.02813039879010701,internal
406,0.05257230542197736,internal
407,0.025357027210704996,internal
408,0.03210427583142391,internal
409,0.07820889628920577,internal
410,0.06796552309376391,internal
411,-0.006771927870633641,internal
412,0.14075747205865666,internal
413,0.08328439279746952,internal
414,0.06990486684186085,internal
415,0.10033016853487964,internal
416,0.046688272267096875,internal
417,0.007372167868680594,internal
418,0.15170511843278375,internal
419,0.1522887000409779,internal
420,0.23758115139142977,internal
421,0.09394847835155339,internal
422,0.0400415830470072,internal
423,0.0840732994207526,internal
424,-0.0023200355477869436,internal
425,0.019987574886490767,internal
426,0.006674583235700661,internal
427,0.0013717242865779744,internal
428,-0.04786733173615907,internal
429,-0.025819739461506966,internal
430,0.03846579305256079,internal
431,0.07659778501188647,internal
432,0.04177620971958588,internal
433,-0.02806423913374882,internal
434,0.018653854665721826,internal
435,0.07027228397471608,internal
436,0.16223231230706373,internal
437,0.0738860283339167,internal
438,0.0335673522446689,internal
439,-0.010844952001512032,internal
440,0.011946289808840618,internal
441,0.06469993812043451,internal
442,0.05813890019164861,internal
443,0.0460964173525753,internal
444,0.06395607486043685,internal
445,0.02538719609237175,internal
446,0.004720521684247146,internal
447,0.0696689266511467,internal
448,0.054243427687421054,internal
449,0.014883219277076318,internal
450,0.02008234086321876,internal
451,0.07527571463125758,internal
452,0.046057067768031,internal
453,0.04749261139164898,internal
454,0.025419108441668153,internal
455,0.0628792848099185,internal
456,0.04142798586348484,internal
457,-0.01712261187346134,internal
458,0.01971285609107652,internal
459,-0.010927457222778325,internal
460,-0.03394052771164765,internal
461,0.037250145166138976,internal
462,0.07034499068907657,internal
463,-0.03446170336972649,internal
464,-0.02362949910436833,internal
465,-0.05232670709112653,internal
466,-0.004059896911779816,internal
467,0.053878471644351854,internal
468,0.062291309565376256,internal
469,0.06832380346606401,internal
470,0.03934101397598496,internal
471,0.07044931376234549,internal
472,0.05247952491073451,internal
473,0.045526435666636555,internal
474,0.03314568253636158,internal
475,0.04807306593475578,internal
476,0.040307502584273014,internal
477,0.027002351582251328,internal
478,0.01077177488500649,internal
479,0.01381350554080818,internal
480,0.040479331488374314,internal
481,0.038862493074229267,internal
482,0.032073595458402514,internal
483,-0.02016876555871881,internal
484,0.0375138900272484,internal
485,0.06213686039000401,internal
486,0.043974631048392776,internal
487,0.012215038480276302,internal
488,0.053317838818468376,internal
489,0.09939990254141497,internal
490,0.16530769006382526,internal
491,0.06630610378239767,internal
492,0.11552156681879387,internal
493,0.03629546148259175,internal
494,0.13499152610451015,internal
495,0.04585763381399353,internal
496,0.03519295816918055,internal
497,0.06833571303748649,internal
498,0.05576535060665159,internal
499,0.0007063018193361192,internal
500,0.036444115446942,internal
501,0.03904815605907628,internal
502,0.04248909959848624,internal
503,0.07318887210297763,internal
504,0.07260762584107101,internal
505,0.07376467796923228,internal
506,0.04356636826417909,internal
507,0.04711707145467997,internal
508,0.07177436932463566,internal
509,-0.008100317585203373,internal
510,-0.004514070036402529,internal
511,-0.02001561684540557,internal
512,-0.0054199377286664975,internal
513,0.06633117672435683,internal
514,0.009250188077486518,internal
515,0.08671724309062696,internal
516,0.022392822811797383,internal
517,0.06756588401181651,internal
518,-0.008919097527095651,internal
519,-0.07688172309647147,internal
520,-0.03229114816484047,internal
521,-0.02626100632998295,internal
522,0.09199460674615402,internal
523,0.006285612579517467,internal
524,0.13684588345348184,internal
525,0.038234692283092155,internal
526,0.031947035950903015,internal
527,0.008281172930374827,internal
